name,jurisdiction,jurisdictionType,entityType,status,birthyear,zipcode
"FORM TIES, INC.",GEORGIA,world,Statement & Designation By Foreign Corporation,Forfeited,1977,95127
CENTRAL HOLDINGS LTD.,CANADA,world,Statement & Designation By Foreign Corporation,Forfeited,1980,95122
CANON ANELVA CORPORATION,JAPAN,world,Statement & Designation By Foreign Corporation,Surrendered,1980,95014
CYPRESS FINANCE N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Forfeited,1981,94104
"METAL PROCESSING INDUSTRIES, INC.",GEORGIA,world,Statement & Designation By Foreign Corporation,Forfeited,1981,95131
BIRCHSTONE REAL ESTATE N. V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Surrendered,1981,95127
TETONIA INVESTMENT N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Forfeited,1982,95112
ABCO GMBH,AUSTRIA,world,Statement & Designation By Foreign Corporation,Forfeited,1982,95120
HOYA CORPORATION,JAPAN,world,Statement & Designation By Foreign Corporation,Surrendered,1982,94122
CHANG CHUNG SHIAN & CO.,TAIWAN,world,Statement & Designation By Foreign Corporation,Forfeited,1983,95126
"MARAC CORPORATION LIMITED, WHICH WILL DO BUSINESS IN CALIFORNIA AS NEW ZEALAND MARAC CORPORATION LIMITED",NEW ZEALAND,world,Statement & Designation By Foreign Corporation,Surrendered,1983,95113
METRO CANADA LIMITED,CANADA,world,Statement & Designation By Foreign Corporation,Forfeited,1983,95112
DISTANT HORIZONS TOURS (WHOLESALE) INC.,CANADA,world,Statement & Designation By Foreign Corporation,Forfeited,1985,95111
"ASUSA TANG, S.A.",PANAMA,world,Statement & Designation By Foreign Corporation,Surrendered,1983,90017
MOUTANA COMPANY LIMITED,HONG KONG,world,Statement & Designation By Foreign Corporation,Surrendered,1985,95113
